Input-Output-Tabelle (Revision 2019) -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inländische Produktion (Herstellungspreise):;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland, Jahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Input-Output-Rechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inländische Produktion (Herstellungspreise) (Mill. EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Input der Produktionsbereiche;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Letzte Verwendung von Gütern;Gesamte Verwendung von Gütern
;;Erz. d. Landwirtschaft, Jagd und Dienstleistungen;Forstwirtschaftl. Erzeugnisse und Dienstleistungen;Fische, Fischerei- und Aquakulturerzeugnisse, DL;Kohle;Erdöl und Erdgas;Erze, Steine und Erden, sonstige Bergbauerz., DL;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;Textilien, Bekleidung, Leder und Lederwaren;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.;Papier, Pappe und Waren daraus;Druckereileist., besp. Ton-, Bild- u. Datenträger;Kokerei- und Mineralölerzeugnisse;Chemische Erzeugnisse;Pharmazeutische Erzeugnisse;Gummi- und Kunststoffwaren;Glas und Glaswaren;Keramik, bearbeitete Steine und Erden;Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl;NE-Metalle und Halbzeug daraus;Gießereierzeugnisse;Metallerzeugnisse;DV-Geräte, elektronische und optische Erzeugnisse;Elektrische Ausrüstungen;Maschinen;Kraftwagen und Kraftwagenteile;Sonstige Fahrzeuge;Möbel und Waren, a.n.g.;Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.;Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.;Indust.erz.Gase, Dienstleistungen d.Gasversorgung;Wasser, Dienstleistungen der Wasserversorgung;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;Hochbauarbeiten;Tiefbauarbeiten;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;Handelsleistungen mit Kfz, Instandh. und Reparatur;Großhandelsleistungen (oh.Handelsleistungen m.Kfz);Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);Landverkehrs- u. Transportleist. in Rohrfernleit.;Schifffahrtsleistungen;Luftfahrtleistungen;Lagereileist.,sonst. Dienstleistungen f.d. Verkehr;Post-, Kurier- und Expressdienstleistungen;Beherbergungs- und Gastronomiedienstleistungen;Dienstleistungen des Verlagswesens;DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.;Telekommunikationsdienstleistungen;IT- und Informationsdienstleistungen;Finanzdienstleistungen;Dienstleistungen v.Versicherungen u.Pensionskassen;Mit Finanz- u.Versicherungs-DL verbundene Dienstl.;Dienstleistungen d. Grundstücks- u. Wohnungswesens;DL der Rechts-, Steuer- und Unternehmensberatung;DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.;Forschungs- und Entwicklungsleistungen;Werbe- und Marktforschungsleistungen;Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL;Dienstleist. der Vermietung v. beweglichen Sachen;DL d. Vermittlung u. Überlassung v. Arbeitskräften;DL v. Reisebüros, -veranstaltern u. sonst. Reserv.;Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g;DL d. öffentlichen Verwaltung und der Verteidigung;Dienstleistungen der Sozialversicherung;Erziehungs- und Unterrichtsdienstleistungen;Dienstleistungen des Gesundheitswesens;Dienstleistungen von Heimen und des Sozialwesens;Dienstleist. der Kunst, Kultur u. des Glücksspiels;DL des Sports, der Unterhaltung und der Erholung;DL d. Interessenvertr., kirchl. u.sonst. Vereinig.;Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern;Sonstige überwiegend persönliche Dienstleistungen;Waren u.Dienstleistungen privater Haushalte o.a.S.;Input der Produktionsbereiche zusammen;Konsumausgaben der privaten Haushalte im Inland;Konsumausgaben der privaten Organisationen o.E.;Konsumausgaben des Staates;Anlageinvestitionen f.Ausrüstungen u.sonst.Anlagen;Anlageinvestitionen für Bauten;Vorratsveränderungen und Nettozugang an Wertsachen;Exporte;Exporte in die Europäische Union;Exporte in Mitgliedsstaaten der Währungsunion;Exporte in Nichtmitgliedsstaaten der Währungsunion;Exporte in Drittländer;Letzte Verwendung von Gütern zusammen;Gesamte Verwendung von Gütern
2015;Verwendung d. inländ. Produktion nach Gütergruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;  Erz. d. Landwirtschaft, Jagd und Dienstleistungen;10626;1;-;-;-;-;24583;63;2;-;-;1;19;-;190;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14;1;-;-;215;1;-;-;1;-;-;-;-;-;-;7;-;3;-;-;-;504;283;-;17;70;63;9;1;2;-;3;-;36680;8901;-;-;346;-;1177;6818;4237;3232;1005;2581;17242;53922
2015;  Forstwirtschaftl. Erzeugnisse und Dienstleistungen;75;695;-;-;8;54;20;-;2239;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;32;12;-;-;7;3;-;-;9;-;9;-;3268;1155;-;-;-;-;649;375;275;240;37;98;2179;5447
2015;  Fische, Fischerei- und Aquakulturerzeugnisse, DL;-;-;9;-;-;-;167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;3;-;-;-;-;-;-;244;120;-;-;-;-;-70;122;117;100;17;5;172;416
2015;  Kohle;4;-;-;91;-;-;6;1;-;4;-;35;-;-;-;-;27;40;-;-;-;-;-;-;-;-;-;-;2751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;2965;107;-;-;-;-;12;135;120;92;28;15;254;3219
2015;  Erdöl und Erdgas;-;-;-;-;-;-;8;1;-;3;-;513;-;-;2;-;1;-;3;2;4;1;-;7;2;1;-;1;275;210;-;-;-;-;-;-;2;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;3;2;-;-;-;-;-;-;1052;121;-;-;-;-;16;696;537;-23;560;159;833;1885
2015;  Erze, Steine und Erden, sonstige Bergbauerz., DL;25;-;-;39;206;2011;117;-;-;14;-;-;4421;-;-;63;2335;11;-;34;8;-;6;-;-;-;-;-;10;-;-;76;861;899;102;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;28;229;-;-;-;-;-;-;-;-;-;-;11500;58;-;-;66;-;47;1277;931;726;205;346;1448;12948
2015;  Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;2656;-;-;-;-;7;27745;-;-;-;-;-;1003;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;239;71;-;-;9708;1;18;-;1;-;-;-;-;14;-;69;-;5;-;-;-;10;2457;-;391;3437;1772;70;30;165;-;54;-;50026;78945;-;516;-;-;1627;48891;38978;26434;12544;9913;129979;180005
2015;  Textilien, Bekleidung, Leder und Lederwaren;29;-;6;2;1;4;9;3025;1;-;2;1;-;4;152;2;-;-;1;1;30;31;35;61;405;35;266;21;-;-;-;-;3;3;126;2;-;39;2;-;1;1;6;109;-;3;-;-;-;-;-;-;4;-;7;8;1;-;-;-;125;29;2;3;34;18;1;2;29;2;11;-;4695;8468;-;-;151;-;-2078;10836;8668;5429;3239;2168;17377;22072
